Date,BY11
1961-01-01,691.7866192,
1962-01-01,711.9034336,
1963-01-01,725.3125408,
1964-01-01,685.6024096,
1965-01-01,566.6265424,
1966-01-01,688.4911072,
1967-01-01,772.9949728,
1968-01-01,648.4403872,
1969-01-01,720.1658656,
1970-01-01,703.669384,
1971-01-01,681.3040528,
1972-01-01,701.9096752,
1973-01-01,663.1487776,
1974-01-01,656.9677216,
1975-01-01,769.6868464,
1976-01-01,798.0156352,
1977-01-01,757.6243264,
1978-01-01,841.702456,
1979-01-01,576.1787968,
1980-01-01,689.8534624,
1981-01-01,715.227328,
1982-01-01,625.8038464,
1983-01-01,585.6238288,
1984-01-01,712.2219472,
1985-01-01,618.8091616,
1986-01-01,562.0822048,
1987-01-01,615.1762144,
1988-01-01,607.8535552,
1989-01-01,675.5424256,
1990-01-01,627.1252048,
1991-01-01,670.11508,
1992-01-01,689.4340336,
1993-01-01,629.638624,
1994-01-01,735.6405808,
1995-01-01,646.2234064,
1996-01-01,661.9409488,
1997-01-01,488.6190928,
1998-01-01,571.3190992,
1999-01-01,700.3297216,
2000-01-01,799.4000656,
2001-01-01,718.5007648,
2002-01-01,678.046384,
2003-01-01,602.4955888,
2004-01-01,700.4621728,
2005-01-01,691.149592,
2006-01-01,559.7012368,
2007-01-01,675.286984,
2008-01-01,539.3226736,
2009-01-01,797.3659936,
2010-01-01,684.3315088,
2011-01-01,744.7797136,
2012-01-01,707.3717104,
2013-01-01,635.6872288,
2014-01-01,662.9690224,
2015-01-01,627.4815616,
2016-01-01,613.050688,
2017-01-01,560.149048,
2018-01-01,622.6187104,
2019-01-01,628.2573472,
2020-01-01,602.486128,
2021-01-01,645.0029632,
2022-01-01,521.9211088,
2023-01-01,617.2355152,
2024-01-01,583.6528288,
2025-01-01,688.5226432,
2026-01-01,739.1032336,
2027-01-01,593.0978608,
2028-01-01,523.9804096,
2029-01-01,682.966,
2030-01-01,676.3024432,
2031-01-01,497.6667712,
2032-01-01,627.5793232,
2033-01-01,615.4221952,
2034-01-01,595.4283712,
2035-01-01,524.6268976,
2036-01-01,644.066344,
2037-01-01,505.1092672,
2038-01-01,560.9626768,
2039-01-01,652.7923552,
2040-01-01,709.1692624,
2041-01-01,515.6328304,
2042-01-01,592.252696,
2043-01-01,701.714152,
2044-01-01,534.1665376,
2045-01-01,513.507304,
2046-01-01,620.3859616,
2047-01-01,738.6838048,
2048-01-01,567.276184,
2049-01-01,765.5934736,
2050-01-01,835.5119392,
2051-01-01,543.324592,
2052-01-01,611.395048,
2053-01-01,749.9390032,
2054-01-01,573.9271264,
2055-01-01,622.3884976,
2056-01-01,627.4090288,
2057-01-01,693.6188608,
2058-01-01,461.0124784,
2059-01-01,601.4422864,
2060-01-01,723.4298416,
2061-01-01,558.55648,
2062-01-01,500.13604,
2063-01-01,525.6202816,
2064-01-01,584.9458048,
2065-01-01,581.2718608,
2066-01-01,516.5726032,
2067-01-01,563.4256384,
2068-01-01,739.8443296,
2069-01-01,568.5155488,
2070-01-01,512.75044,
2071-01-01,452.9298016,
2072-01-01,706.791448,
2073-01-01,568.001512,
2074-01-01,599.6289664,
2075-01-01,564.4032544,
2076-01-01,534.762568,
2077-01-01,426.767536,
2078-01-01,571.5366976,
2079-01-01,402.027544,
2080-01-01,481.9019248,
2081-01-01,506.5441552,
2082-01-01,469.5650416,
2083-01-01,456.3262288,
2084-01-01,463.8664864,
2085-01-01,523.8006544,
2086-01-01,606.17584,
2087-01-01,608.22568,
2088-01-01,543.1479904,
2089-01-01,599.805568,
2090-01-01,568.5344704,
2091-01-01,523.1951632,
2092-01-01,731.8562608,
2093-01-01,576.3175552,
2094-01-01,601.6441168,
2095-01-01,467.1052336,
2096-01-01,582.8770432,
2097-01-01,490.6058608,
2098-01-01,647.9263504,
