Date,BY11
1989-01-01,0.07,
1989-01-11,0.7,
1989-01-21,4.44,
1989-02-01,6.83,
1989-02-11,10.09,
1989-02-21,4.74,
1989-03-01,13.62,
1989-03-11,18.31,
1989-03-21,30.12,
1989-04-01,16.51,
1989-04-11,21.38,
1989-04-21,27.76,
1989-05-01,45.08,
1989-05-11,42.11,
1989-05-21,48.6,
1989-06-01,34.53,
1989-06-11,58.44,
1989-06-21,57.3,
1989-07-01,47.78,
1989-07-11,60.99,
1989-07-21,58.43,
1989-08-01,45.6,
1989-08-11,40.01,
1989-08-21,45.62,
1989-09-01,31.67,
1989-09-11,24.36,
1989-09-21,24.19,
1989-10-01,17.03,
1989-10-11,12.88,
1989-10-21,10.74,
1989-11-01,3.94,
1989-11-11,3.99,
1989-11-21,2.22,
1989-12-01,0.96,
1989-12-11,3.61,
1989-12-21,1.36,
1990-01-01,0.16,
1990-01-11,1.07,
1990-01-21,4.85,
1990-02-01,6.12,
1990-02-11,6.27,
1990-02-21,9.13,
1990-03-01,16.13,
1990-03-11,21.56,
1990-03-21,27.93,
1990-04-01,19.48,
1990-04-11,18.57,
1990-04-21,29.41,
1990-05-01,37.97,
1990-05-11,35.09,
1990-05-21,43.97,
1990-06-01,34.07,
1990-06-11,38.48,
1990-06-21,43.36,
1990-07-01,47.13,
1990-07-11,58.64,
1990-07-21,56.35,
1990-08-01,55.91,
1990-08-11,42.24,
1990-08-21,39.12,
1990-09-01,35.01,
1990-09-11,26.07,
1990-09-21,18.07,
1990-10-01,16.93,
1990-10-11,10.78,
1990-10-21,5.95,
1990-11-01,3.62,
1990-11-11,2.22,
1990-11-21,1.28,
1990-12-01,1.67,
1990-12-11,1.11,
1990-12-21,0.1,
1991-01-01,0.93,
1991-01-11,1.7,
1991-01-21,3.68,
1991-02-01,4.87,
1991-02-11,5.51,
1991-02-21,9.75,
1991-03-01,9.06,
1991-03-11,16.57,
1991-03-21,20.33,
1991-04-01,25.3,
1991-04-11,31.83,
1991-04-21,24.02,
1991-05-01,24.26,
1991-05-11,38.44,
1991-05-21,57.89,
1991-06-01,34.38,
1991-06-11,36.17,
1991-06-21,45.96,
1991-07-01,50.4,
1991-07-11,53.55,
1991-07-21,46.21,
1991-08-01,43.15,
1991-08-11,46.85,
1991-08-21,49.43,
1991-09-01,31.94,
1991-09-11,26.82,
1991-09-21,15.56,
1991-10-01,13.69,
1991-10-11,8.44,
1991-10-21,6.41,
1991-11-01,3.83,
1991-11-11,1.9,
1991-11-21,1.43,
1991-12-01,1.76,
1991-12-11,1.57,
1991-12-21,1.27,
1992-01-01,0.48,
1992-01-11,1.21,
1992-01-21,4.68,
1992-02-01,4.93,
1992-02-11,0.48,
1992-02-21,9.57,
1992-03-01,13.45,
1992-03-11,15.05,
1992-03-21,17.09,
1992-04-01,20.17,
1992-04-11,31.08,
1992-04-21,35.67,
1992-05-01,34.47,
1992-05-11,50.84,
