Date,BY11
1989-01-01,0.12,
1989-01-11,0.28,
1989-01-21,2.71,
1989-02-01,3.74,
1989-02-11,7.34,
1989-02-21,6.2,
1989-03-01,13.61,
1989-03-11,13.45,
1989-03-21,29.27,
1989-04-01,22.66,
1989-04-11,23.26,
1989-04-21,26.37,
1989-05-01,47.94,
1989-05-11,35.8,
1989-05-21,53.64,
1989-06-01,40.62,
1989-06-11,48.49,
1989-06-21,48.6,
1989-07-01,46.84,
1989-07-11,48.96,
1989-07-21,55.26,
1989-08-01,46.79,
1989-08-11,46.18,
1989-08-21,46.25,
1989-09-01,28.53,
1989-09-11,27.89,
1989-09-21,23.52,
1989-10-01,19.93,
1989-10-11,14.13,
1989-10-21,9.74,
1989-11-01,4.68,
1989-11-11,3.39,
1989-11-21,1.73,
1989-12-01,1.0,
1989-12-11,0.2,
1989-12-21,0.04,
1990-01-01,0.49,
1990-01-11,0.78,
1990-01-21,0.68,
1990-02-01,3.02,
1990-02-11,8.72,
1990-02-21,12.77,
1990-03-01,18.76,
1990-03-11,23.07,
1990-03-21,21.98,
1990-04-01,18.35,
1990-04-11,24.11,
1990-04-21,32.58,
1990-05-01,46.93,
1990-05-11,43.97,
1990-05-21,43.65,
1990-06-01,39.41,
1990-06-11,46.23,
1990-06-21,56.92,
1990-07-01,54.0,
1990-07-11,58.21,
1990-07-21,60.83,
1990-08-01,52.04,
1990-08-11,44.58,
1990-08-21,51.66,
1990-09-01,32.22,
1990-09-11,27.63,
1990-09-21,24.47,
1990-10-01,16.58,
1990-10-11,12.98,
1990-10-21,9.01,
1990-11-01,5.11,
1990-11-11,3.0,
1990-11-21,1.5,
1990-12-01,2.94,
1990-12-11,1.43,
1990-12-21,0.05,
1991-01-01,0.0,
1991-01-11,2.27,
1991-01-21,2.73,
1991-02-01,3.29,
1991-02-11,5.47,
1991-02-21,7.18,
1991-03-01,8.98,
1991-03-11,18.47,
1991-03-21,20.04,
1991-04-01,25.24,
1991-04-11,26.87,
1991-04-21,27.43,
1991-05-01,22.26,
1991-05-11,37.56,
1991-05-21,53.07,
1991-06-01,43.03,
1991-06-11,51.1,
1991-06-21,59.36,
1991-07-01,55.89,
1991-07-11,57.74,
1991-07-21,58.45,
1991-08-01,55.2,
1991-08-11,47.22,
1991-08-21,45.86,
1991-09-01,39.76,
1991-09-11,28.3,
1991-09-21,21.35,
1991-10-01,18.84,
1991-10-11,11.95,
1991-10-21,9.65,
1991-11-01,5.04,
1991-11-11,2.53,
1991-11-21,0.75,
1991-12-01,0.87,
1991-12-11,0.65,
1991-12-21,1.01,
1992-01-01,0.0,
1992-01-11,0.35,
1992-01-21,3.63,
1992-02-01,3.97,
1992-02-11,0.0,
1992-02-21,9.7,
1992-03-01,13.86,
1992-03-11,20.88,
1992-03-21,20.0,
1992-04-01,20.96,
1992-04-11,32.04,
1992-04-21,34.39,
1992-05-01,42.77,
1992-05-11,48.18,
1992-05-21,48.27,
1992-06-01,40.61,
1992-06-11,46.12,
1992-06-21,52.27,
1992-07-01,46.49,
1992-07-11,53.08,
1992-07-21,62.71,
1992-08-01,55.36,
1992-08-11,49.69,
1992-08-21,48.04,
1992-09-01,39.0,
1992-09-11,31.81,
1992-09-21,21.16,
1992-10-01,11.97,
1992-10-11,10.64,
1992-10-21,10.2,
1992-11-01,4.65,
1992-11-11,4.1,
1992-11-21,1.01,
1992-12-01,1.43,
1992-12-11,0.12,
1992-12-21,1.52,
1993-01-01,1.51,
1993-01-11,0.06,
1993-01-21,3.34,
1993-02-01,4.91,
1993-02-11,8.59,
1993-02-21,10.22,
1993-03-01,12.17,
1993-03-11,20.16,
1993-03-21,25.14,
1993-04-01,23.26,
1993-04-11,26.14,
1993-04-21,38.02,
1993-05-01,38.45,
1993-05-11,43.52,
1993-05-21,59.83,
1993-06-01,52.34,
1993-06-11,52.53,
1993-06-21,49.43,
1993-07-01,55.62,
1993-07-11,53.98,
1993-07-21,58.66,
1993-08-01,54.31,
1993-08-11,53.45,
1993-08-21,45.79,
1993-09-01,29.16,
1993-09-11,27.47,
1993-09-21,19.69,
1993-10-01,12.84,
1993-10-11,11.9,
1993-10-21,8.91,
1993-11-01,3.9,
1993-11-11,4.5,
1993-11-21,1.82,
1993-12-01,0.58,
1993-12-11,1.81,
1993-12-21,2.28,
1994-01-01,0.61,
1994-01-11,1.77,
1994-01-21,6.68,
1994-02-01,3.1,
1994-02-11,7.77,
1994-02-21,5.61,
1994-03-01,15.41,
1994-03-11,24.23,
1994-03-21,28.41,
1994-04-01,22.87,
1994-04-11,23.64,
1994-04-21,37.2,
1994-05-01,38.65,
1994-05-11,35.38,
1994-05-21,51.97,
1994-06-01,55.86,
1994-06-11,47.66,
1994-06-21,58.78,
1994-07-01,54.74,
1994-07-11,55.6,
1994-07-21,64.41,
1994-08-01,57.32,
1994-08-11,52.49,
1994-08-21,47.3,
1994-09-01,33.74,
1994-09-11,27.54,
1994-09-21,21.13,
1994-10-01,17.71,
1994-10-11,15.26,
1994-10-21,8.95,
1994-11-01,4.28,
1994-11-11,3.34,
1994-11-21,1.18,
1994-12-01,0.21,
1994-12-11,0.42,
1994-12-21,1.79,
1995-01-01,3.51,
1995-01-11,3.02,
1995-01-21,3.63,
1995-02-01,3.93,
1995-02-11,5.53,
1995-02-21,5.36,
1995-03-01,10.83,
1995-03-11,18.51,
1995-03-21,32.12,
1995-04-01,33.23,
1995-04-11,31.79,
1995-04-21,27.91,
1995-05-01,44.46,
1995-05-11,27.39,
1995-05-21,50.03,
1995-06-01,39.35,
1995-06-11,44.52,
1995-06-21,49.77,
1995-07-01,57.3,
1995-07-11,55.13,
1995-07-21,59.94,
1995-08-01,45.8,
1995-08-11,41.44,
1995-08-21,40.64,
1995-09-01,32.9,
1995-09-11,24.07,
1995-09-21,21.93,
1995-10-01,18.35,
1995-10-11,15.54,
1995-10-21,10.61,
1995-11-01,10.07,
1995-11-11,4.47,
1995-11-21,0.87,
1995-12-01,0.75,
1995-12-11,0.54,
1995-12-21,0.47,
1996-01-01,0.0,
1996-01-11,0.11,
1996-01-21,1.61,
