Date,BY11
1961-01-01,393.4939024,
1962-01-01,444.4403104,
1963-01-01,438.3128656,
1964-01-01,399.8610208,
1965-01-01,327.2462272,
1966-01-01,403.2322192,
1967-01-01,422.037136,
1968-01-01,341.7180976,
1969-01-01,402.7150288,
1970-01-01,392.6991952,
1971-01-01,388.5332896,
1972-01-01,404.9257024,
1973-01-01,394.301224,
1974-01-01,360.3968704,
1975-01-01,445.7553616,
1976-01-01,452.3022352,
1977-01-01,401.5576576,
1978-01-01,434.9227456,
1979-01-01,302.41888048,
1980-01-01,402.84748,
1981-01-01,389.1009376,
1982-01-01,373.2761728,
1983-01-01,330.4849744,
1984-01-01,401.74372,
1985-01-01,340.3809712,
1986-01-01,361.9799776,
1987-01-01,320.6993536,
1988-01-01,382.5603712,
1989-01-01,402.752872,
1990-01-01,351.664552,
1991-01-01,404.5914208,
1992-01-01,369.6905296,
1993-01-01,404.1656848,
1994-01-01,397.4453632,
1995-01-01,374.1307984,
1996-01-01,408.9086992,
1997-01-01,314.81883568,
1998-01-01,344.5657984,
1999-01-01,419.6057104,
2000-01-01,457.073632,
2001-01-01,429.4260208,
2002-01-01,385.6477456,
2003-01-01,337.3976656,
2004-01-01,437.0924224,
2005-01-01,399.7001872,
2006-01-01,359.4665584,
2007-01-01,425.4966352,
2008-01-01,314.07300928,
2009-01-01,461.141776,
2010-01-01,417.6189424,
2011-01-01,406.7484832,
2012-01-01,387.15832,
2013-01-01,359.911216,
2014-01-01,411.8730832,
2015-01-01,366.9405904,
2016-01-01,323.6542768,
2017-01-01,382.1693248,
2018-01-01,379.621216,
2019-01-01,376.420312,
2020-01-01,365.9724352,
2021-01-01,394.0678576,
2022-01-01,363.3833296,
2023-01-01,329.1919984,
2024-01-01,395.0297056,
2025-01-01,377.7574384,
2026-01-01,454.6201312,
2027-01-01,336.9813904,
2028-01-01,296.92152496,
2029-01-01,385.676128,
2030-01-01,368.883208,
2031-01-01,290.9719432,
2032-01-01,375.6508336,
2033-01-01,387.9656416,
2034-01-01,365.256568,
2035-01-01,334.2503728,
2036-01-01,385.0548688,
2037-01-01,358.4637136,
2038-01-01,303.40248832,
2039-01-01,386.984872,
2040-01-01,405.007696,
2041-01-01,311.49998704,
2042-01-01,294.05364112,
2043-01-01,377.2907056,
2044-01-01,331.2796816,
2045-01-01,315.90619696,
2046-01-01,418.5114112,
2047-01-01,428.4420976,
2048-01-01,332.742952,
2049-01-01,427.9375216,
2050-01-01,489.7323136,
2051-01-01,322.9794064,
2052-01-01,341.9924608,
2053-01-01,417.212128,
2054-01-01,342.7808608,
2055-01-01,373.5316144,
2056-01-01,343.5881824,
2057-01-01,395.562664,
2058-01-01,322.3297648,
2059-01-01,364.3672528,
2060-01-01,443.2797856,
2061-01-01,330.7908736,
2062-01-01,321.4656784,
2063-01-01,354.8055376,
2064-01-01,363.0679696,
2065-01-01,368.4070144,
2066-01-01,303.19813504,
2067-01-01,325.489672,
2068-01-01,416.2944304,
2069-01-01,384.8624992,
2070-01-01,363.3896368,
2071-01-01,268.57412992,
2072-01-01,391.526056,
2073-01-01,376.530688,
2074-01-01,369.7914448,
2075-01-01,412.970536,
2076-01-01,342.724096,
2077-01-01,288.52285744,
2078-01-01,359.8229152,
2079-01-01,262.15087744,
2080-01-01,290.51183296,
2081-01-01,306.6894856,
2082-01-01,299.6333056,
2083-01-01,268.2707536,
2084-01-01,260.33440384,
2085-01-01,333.1970704,
2086-01-01,380.157328,
2087-01-01,322.131088,
2088-01-01,346.5494128,
2089-01-01,346.1173696,
2090-01-01,352.2574288,
2091-01-01,293.2551496,
2092-01-01,385.613056,
2093-01-01,337.6341856,
2094-01-01,343.6890976,
2095-01-01,317.2934656,
2096-01-01,334.6540336,
2097-01-01,299.26370368,
2098-01-01,362.1597328,
