Date,BY11
1969-01-01,1671.14656,
1970-01-01,1662.521464,
1971-01-01,1532.908504,
1972-01-01,1788.6749248,
1973-01-01,1861.2991792,
1974-01-01,1844.1467488,
1975-01-01,1556.6803408,
1976-01-01,1665.990424,
1977-01-01,1537.607368,
1978-01-01,1566.5857984,
1979-01-01,1727.2018,
1980-01-01,1709.0654464,
1981-01-01,1724.6221552,
1982-01-01,1987.3548784,
1983-01-01,1897.25968,
1984-01-01,1672.9314976,
1985-01-01,1804.6037584,
1986-01-01,1947.575368,
1987-01-01,1928.4929344,
1988-01-01,1839.9997648,
1989-01-01,1568.8690048,
1990-01-01,2056.20112,
1991-01-01,1827.3506752,
1992-01-01,2072.5336144,
1993-01-01,2103.7920976,
1994-01-01,1857.4486336,
1995-01-01,1895.950936,
1996-01-01,1818.3061504,
1997-01-01,2204.8807456,
1998-01-01,1917.695008,
1999-01-01,1772.8880032,
2000-01-01,1592.5052368,
2001-01-01,1696.4668144,
2002-01-01,1969.4045872,
2003-01-01,2097.6362704,
2004-01-01,1882.453528,
2005-01-01,1925.452864,
2006-01-01,1870.4130832,
2007-01-01,1715.5555552,
2008-01-01,2031.9057856,
2009-01-01,1700.4308896,
2010-01-01,2064.573928,
2011-01-01,1934.2324864,
2012-01-01,1905.6577168,
2013-01-01,1978.6824784,
2014-01-01,1765.2216016,
2015-01-01,1849.9146832,
2016-01-01,1939.6409104,
2017-01-01,1940.1454864,
2018-01-01,1697.8165552,
2019-01-01,2100.2379904,
2020-01-01,1735.6944448,
2021-01-01,1641.250432,
2022-01-01,1841.8477744,
2023-01-01,1827.9088624,
2024-01-01,1937.9600416,
2025-01-01,1832.7023344,
2026-01-01,1857.2499568,
2027-01-01,1995.2010352,
2028-01-01,1845.5343328,
2029-01-01,1654.0603552,
2030-01-01,2086.5355984,
2031-01-01,2057.714848,
2032-01-01,1826.38252,
2033-01-01,2052.7510816,
2034-01-01,1956.9541744,
2035-01-01,2018.7647344,
2036-01-01,1744.1587072,
2037-01-01,2141.9380432,
2038-01-01,2048.8469248,
2039-01-01,2047.7778544,
2040-01-01,1976.9889952,
2041-01-01,2042.593336,
2042-01-01,1831.7499472,
2043-01-01,2003.7788272,
2044-01-01,1766.4988096,
2045-01-01,2270.8288288,
2046-01-01,1915.7618512,
2047-01-01,1743.2504704,
2048-01-01,2118.8568448,
2049-01-01,2066.8981312,
2050-01-01,1719.8097616,
2051-01-01,1958.3890624,
2052-01-01,2029.1716144,
2053-01-01,1902.5640352,
2054-01-01,2161.878256,
2055-01-01,1980.2845072,
2056-01-01,2012.6215216,
2057-01-01,2075.9615776,
2058-01-01,2090.3167648,
2059-01-01,1920.7634608,
2060-01-01,1748.4034528,
2061-01-01,1879.4922976,
2062-01-01,1974.6553312,
2063-01-01,2180.4088096,
2064-01-01,2246.9245408,
2065-01-01,2040.5498032,
2066-01-01,2168.3809792,
2067-01-01,2082.6188272,
2068-01-01,1815.4174528,
2069-01-01,2094.9178672,
2070-01-01,2190.1250512,
2071-01-01,2135.2051072,
2072-01-01,1830.4475104,
2073-01-01,2217.3248512,
2074-01-01,1919.4326416,
2075-01-01,1970.1046864,
2076-01-01,1840.526416,
2077-01-01,2079.1151776,
2078-01-01,2106.800632,
2079-01-01,2101.2944464,
2080-01-01,2076.731056,
2081-01-01,2253.553408,
2082-01-01,2161.7331904,
2083-01-01,1803.613528,
2084-01-01,2152.9819504,
2085-01-01,2035.340056,
2086-01-01,2060.7549184,
2087-01-01,2215.7322832,
2088-01-01,2035.6522624,
2089-01-01,2286.082792,
2090-01-01,2065.3118704,
2091-01-01,2162.9725552,
2092-01-01,1771.7054032,
2093-01-01,2155.85488,
2094-01-01,1817.7542704,
2095-01-01,2122.8966064,
2096-01-01,1965.9419344,
2097-01-01,2082.1520944,
2098-01-01,2111.5531072,
