Date,BY11
2012-01-01,21.7,0.830000019073
2012-01-11,25.0,0.860000038147
2012-01-21,16.4,0.618181800842
2012-02-01,4.4,0.519999980927
2012-02-11,7.1,0.869999980927
2012-02-21,3.6,0.477777767181
2012-03-01,2.1,0.279999995232
2012-03-11,2.4,0.320000004768
2012-03-21,6.7,0.827272701263
2012-04-01,4.5,0.240000009537
2012-04-11,34.8,1.35
2012-04-21,9.4,0.419999980927
2012-05-01,10.7,0.559999990463
2012-05-11,14.4,0.609999990463
2012-05-21,22.4,0.845454502106
2012-06-01,22.6,0.930000019073
2012-06-11,32.4,1.31999998093
2012-06-21,2.2,0.1
2012-07-01,52.8,2.42000007629
2012-07-11,16.5,0.740000009537
2012-07-21,28.9,1.02727270126
2012-08-01,34.7,1.26000003815
2012-08-11,10.4,0.4
2012-08-21,64.3,1.59090909958
2012-09-01,1.2,0.0699999988079
2012-09-11,32.4,1.36999998093
2012-09-21,7.2,0.340000009537
2012-10-01,18.5,0.910000038147
2012-10-11,6.3,0.340000009537
2012-10-21,16.4,0.763636350632
2012-11-01,17.5,1.3
2012-11-11,0.0,0.0
2012-11-21,8.0,0.580000019073
2012-12-01,15.1,0.719999980927
2012-12-11,11.5,0.509999990463
2012-12-21,31.4,1.29090909958
2013-01-01,22.7,0.910000038147
2013-01-11,20.0,0.759999990463
2013-01-21,18.1,0.763636350632
2013-02-01,13.6,0.769999980927
2013-02-11,8.1,0.419999980927
2013-02-21,21.0,1.2
2013-03-01,2.2,0.179999995232
2013-03-11,10.4,0.769999980927
2013-03-21,6.7,0.481818199158
2013-04-01,3.5,0.320000004768
2013-04-11,10.2,0.839999961853
2013-04-21,1.0,0.1
2013-05-01,34.8,1.21000003815
2013-05-11,25.4,0.7
2013-05-21,38.6,1.15454549789
2013-06-01,93.2,1.61000003815
2013-06-11,1.7,0.120000004768
2013-06-21,35.6,0.95
