Date,BY11
2012-01-01,59.9,1.41999998093
2012-01-11,49.5,0.969999980927
2012-01-21,32.7,0.681818199158
2012-02-01,5.6,0.290000009537
2012-02-11,17.8,0.969999980927
2012-02-21,15.2,0.911111068726
2012-03-01,9.4,0.690000009537
2012-03-11,4.4,0.340000009537
2012-03-21,6.6,0.5
2012-04-01,9.4,0.430000019073
2012-04-11,37.6,1.23999996185
2012-04-21,3.8,0.15
2012-05-01,6.1,0.309999990463
2012-05-11,24.7,0.630000019073
2012-05-21,59.8,1.95454540253
2012-06-01,67.4,1.26000003815
2012-06-11,64.5,1.8
2012-06-21,15.3,0.459999990463
2012-07-01,26.5,1.43999996185
2012-07-11,34.8,1.11999998093
2012-07-21,40.9,1.39090909958
2012-08-01,27.1,1.06000003815
2012-08-11,4.9,0.259999990463
2012-08-21,79.8,1.56363639832
2012-09-01,2.2,0.129999995232
2012-09-11,45.3,1.16000003815
2012-09-21,25.5,0.910000038147
2012-10-01,26.8,1.03999996185
2012-10-11,13.2,0.469999980927
2012-10-21,17.0,0.627272748947
2012-11-01,25.7,1.41000003815
2012-11-11,1.1,0.0899999976158
2012-11-21,7.9,0.45
2012-12-01,25.4,0.759999990463
2012-12-11,23.2,0.8
2012-12-21,50.3,1.35454549789
2013-01-01,69.5,1.56000003815
2013-01-11,18.7,0.609999990463
2013-01-21,34.9,0.836363601685
2013-02-01,55.9,1.66000003815
2013-02-11,10.6,0.340000009537
2013-02-21,11.6,0.575
2013-03-01,8.9,0.35
2013-03-11,20.2,0.830000019073
2013-03-21,25.4,0.763636350632
2013-04-01,5.5,0.3
2013-04-11,21.6,1.08999996185
2013-04-21,0.0,0.0
2013-05-01,47.7,1.7
2013-05-11,29.5,1.18999996185
2013-05-21,91.0,1.83636360168
2013-06-01,117.1,2.33999996185
2013-06-11,6.3,0.229999995232
2013-06-21,54.9,1.21999998093
