Date,BY11
2008-01-01,0.48,0.37
2008-01-11,0.72,0.5
2008-01-21,1.15455,0.9
2008-02-01,0.27,0.7
2008-02-11,0.0,0.0
2008-02-21,0.344444,0.888889
2008-03-01,1.69,0.96
2008-03-11,1.87,1.05
2008-03-21,1.52727,0.7
2008-04-01,0.59,0.35
2008-04-11,0.55,0.38
2008-04-21,3.03,1.17
2008-05-01,0.63,0.39
2008-05-11,3.43,1.86
2008-05-21,0.136364,0.0909091
2008-06-01,6.46,3.85
2008-06-11,1.33,0.95
2008-06-21,6.06,2.73
2008-07-01,1.71,0.78
2008-07-11,5.92,2.38
2008-07-21,2.25455,0.745455
2008-08-01,1.95,1.04
2008-08-11,3.12,1.02
2008-08-21,0.472727,0.354545
2008-09-01,0.74,0.29
2008-09-11,2.68,1.49
2008-09-21,1.32,0.95
2008-10-01,0.86,0.8
2008-10-11,0.87,0.82
2008-10-21,0.227273,0.227273
2008-11-01,1.81,1.08
2008-11-11,1.37,0.8
2008-11-21,1.68,1.06
2008-12-01,0.74,0.54
2008-12-11,3.08,2.04
2008-12-21,0.163636,0.109091
2009-01-01,0.0,0.0
2009-01-11,0.46,0.22
2009-01-21,3.04545,1.69091
2009-02-01,3.79,2.01
2009-02-11,0.71,0.39
