Date,BY11
1989-01-01,0.0,
1989-01-11,0.21,
1989-01-21,0.0,
1989-02-01,0.06,
1989-02-11,2.42,
1989-02-21,0.78,
1989-03-01,3.45,
1989-03-11,3.8,
1989-03-21,7.09,
1989-04-01,10.35,
1989-04-11,14.68,
1989-04-21,16.38,
1989-05-01,18.29,
1989-05-11,24.97,
1989-05-21,26.86,
1989-06-01,29.51,
1989-06-11,33.28,
1989-06-21,42.12,
1989-07-01,26.56,
1989-07-11,28.95,
1989-07-21,23.49,
1989-08-01,32.83,
1989-08-11,14.85,
1989-08-21,18.69,
1989-09-01,14.15,
1989-09-11,7.3,
1989-09-21,6.52,
1989-10-01,3.25,
1989-10-11,1.91,
1989-10-21,1.67,
1989-11-01,0.1,
1989-11-11,0.1,
1989-11-21,0.0,
1989-12-01,0.49,
1989-12-11,0.0,
1989-12-21,1.51,
1990-01-01,0.25,
1990-01-11,0.0,
1990-01-21,0.0,
1990-02-01,0.17,
1990-02-11,2.49,
1990-02-21,1.5,
1990-03-01,3.15,
1990-03-11,6.4,
1990-03-21,9.77,
1990-04-01,9.39,
1990-04-11,17.28,
1990-04-21,20.72,
1990-05-01,19.09,
1990-05-11,20.47,
1990-05-21,28.79,
1990-06-01,24.22,
1990-06-11,19.81,
1990-06-21,41.1,
1990-07-01,33.78,
1990-07-11,24.02,
1990-07-21,20.49,
1990-08-01,22.52,
1990-08-11,19.87,
1990-08-21,18.37,
1990-09-01,11.76,
1990-09-11,9.03,
1990-09-21,4.95,
1990-10-01,3.13,
1990-10-11,3.2,
1990-10-21,3.19,
1990-11-01,1.11,
1990-11-11,0.7,
1990-11-21,0.2,
1990-12-01,1.34,
1990-12-11,1.03,
1990-12-21,0.0,
1991-01-01,0.15,
1991-01-11,0.27,
1991-01-21,0.0,
1991-02-01,0.0,
1991-02-11,0.68,
1991-02-21,1.33,
1991-03-01,1.64,
1991-03-11,3.77,
1991-03-21,6.73,
1991-04-01,13.22,
1991-04-11,15.0,
1991-04-21,19.73,
1991-05-01,18.85,
1991-05-11,21.86,
1991-05-21,23.4,
1991-06-01,22.67,
1991-06-11,33.98,
1991-06-21,30.3,
1991-07-01,29.27,
1991-07-11,28.53,
1991-07-21,21.06,
1991-08-01,21.84,
1991-08-11,19.57,
1991-08-21,19.72,
1991-09-01,10.92,
1991-09-11,9.22,
1991-09-21,3.68,
1991-10-01,3.33,
1991-10-11,2.65,
1991-10-21,1.6,
1991-11-01,0.16,
1991-11-11,0.0,
1991-11-21,0.0,
1991-12-01,0.0,
1991-12-11,0.22,
1991-12-21,1.21,
1992-01-01,0.07,
1992-01-11,0.2,
1992-01-21,0.0,
1992-02-01,0.71,
1992-02-11,0.07,
1992-02-21,1.32,
1992-03-01,4.07,
1992-03-11,7.93,
1992-03-21,7.64,
