Date,LY11
2000-02-01,13.7494,1.02158067701
2000-03-01,14.1277,0.91303591319
2000-04-01,14.9879,1.04688120783
2000-05-01,18.6059,1.01285646517
2000-06-01,21.1802,1.1311200668
2000-07-01,23.3761,1.22611251629
2000-08-01,24.5993,1.36724945042
2000-09-01,24.3616,1.37770144928
2000-10-01,21.1162,1.34002598826
2000-11-01,17.7896,1.23996572436
2000-12-01,15.4968,1.1869895409
2001-01-01,14.0621,1.09124248274
2001-02-01,13.5479,1.04086104792
2001-03-01,14.2551,0.905904769406
2001-04-01,15.2436,1.07848461404
2001-05-01,17.9572,1.01562955961
2001-06-01,20.9222,1.15051753696
2001-07-01,24.1257,1.26894189856
2001-08-01,25.5105,1.33481635011
2001-09-01,24.093,1.39618992129
2001-10-01,22.3851,1.35518999178
2001-11-01,18.3685,1.48008692776
2001-12-01,15.4855,1.10638469987
2002-01-01,13.6772,0.982492409465
2002-02-01,13.8426,0.996134696535
