Date,LY11
1961-01-01,12.579,
1962-01-01,12.405,
1963-01-01,12.022,
1964-01-01,11.833,
1965-01-01,12.455,
1966-01-01,12.221,
1967-01-01,12.455,
1968-01-01,12.987,
1969-01-01,12.174,
1970-01-01,12.243,
1971-01-01,12.176,
1972-01-01,12.563,
1973-01-01,12.34,
1974-01-01,12.491,
1975-01-01,12.11,
1976-01-01,12.608,
1977-01-01,12.769,
1978-01-01,12.187,
1979-01-01,12.652,
1980-01-01,12.458,
1981-01-01,12.476,
1982-01-01,12.851,
1983-01-01,12.43,
1984-01-01,11.926,
1985-01-01,12.729,
1986-01-01,12.588,
1987-01-01,12.958,
1988-01-01,12.989,
1989-01-01,12.559,
1990-01-01,12.953,
1991-01-01,12.473,
1992-01-01,12.313,
1993-01-01,12.654,
1994-01-01,12.843,
1995-01-01,12.903,
1996-01-01,12.828,
1997-01-01,13.234,
1998-01-01,12.981,
1999-01-01,12.957,
2000-01-01,12.812,
2001-01-01,13.059,
2002-01-01,12.911,
2003-01-01,13.191,
2004-01-01,13.186,
2005-01-01,12.974,
2006-01-01,13.163,
2007-01-01,12.909,
2008-01-01,13.316,
2009-01-01,12.512,
2010-01-01,13.459,
2011-01-01,13.445,
2012-01-01,13.212,
2013-01-01,13.657,
2014-01-01,13.136,
2015-01-01,13.323,
2016-01-01,14.272,
2017-01-01,13.085,
2018-01-01,13.409,
2019-01-01,13.799,
2020-01-01,13.122,
2021-01-01,13.34,
2022-01-01,13.168,
2023-01-01,13.784,
2024-01-01,13.682,
2025-01-01,13.516,
2026-01-01,13.366,
2027-01-01,13.654,
2028-01-01,13.997,
2029-01-01,13.783,
2030-01-01,13.969,
2031-01-01,13.578,
2032-01-01,13.49,
2033-01-01,13.821,
2034-01-01,13.987,
2035-01-01,14.305,
2036-01-01,14.259,
2037-01-01,13.82,
2038-01-01,14.394,
2039-01-01,14.205,
2040-01-01,14.428,
2041-01-01,14.473,
2042-01-01,14.122,
2043-01-01,13.993,
2044-01-01,13.848,
2045-01-01,14.597,
2046-01-01,14.457,
2047-01-01,13.983,
2048-01-01,14.508,
2049-01-01,14.805,
2050-01-01,14.573,
2051-01-01,15.014,
2052-01-01,14.953,
2053-01-01,14.856,
2054-01-01,14.738,
2055-01-01,15.211,
2056-01-01,15.433,
2057-01-01,15.08,
2058-01-01,14.957,
2059-01-01,14.939,
2060-01-01,14.835,
2061-01-01,15.538,
2062-01-01,15.34,
2063-01-01,15.427,
2064-01-01,15.372,
2065-01-01,15.322,
2066-01-01,15.765,
2067-01-01,15.327,
2068-01-01,15.357,
2069-01-01,15.227,
2070-01-01,15.706,
2071-01-01,15.844,
2072-01-01,15.397,
2073-01-01,15.81,
2074-01-01,15.1,
2075-01-01,15.495,
2076-01-01,15.361,
2077-01-01,15.688,
2078-01-01,15.543,
2079-01-01,15.468,
2080-01-01,15.69,
2081-01-01,16.017,
2082-01-01,16.145,
2083-01-01,16.015,
2084-01-01,16.618,
2085-01-01,15.644,
2086-01-01,15.875,
2087-01-01,15.936,
2088-01-01,16.423,
2089-01-01,16.694,
2090-01-01,16.482,
2091-01-01,16.537,
2092-01-01,16.172,
2093-01-01,16.316,
2094-01-01,16.344,
2095-01-01,16.099,
2096-01-01,16.264,
2097-01-01,16.482,
2098-01-01,16.657,
