Date,LY11
1961-01-01,8.145,0.000261230468766
1962-01-01,7.808,0.000297363281277
1963-01-01,8.019,0.000176757812483
1964-01-01,7.866,0.00025292968752
1965-01-01,8.078,9.47265625086e-05
1966-01-01,8.041,9.52148440092e-06
1967-01-01,8.157,5.41992187664e-05
1968-01-01,8.053,0.000180175781225
1969-01-01,7.929,5.10253906327e-05
1970-01-01,7.906,0.000121826171892
1971-01-01,7.609,0.000394042968765
1972-01-01,7.936,0.000395263671862
1973-01-01,8.251,0.000151611328135
1974-01-01,7.914,4.63867189637e-06
1975-01-01,7.907,0.000237304687516
1976-01-01,8.204,0.000423339843735
1977-01-01,7.447,0.00016796875002
1978-01-01,8.243,0.000341064453153
1979-01-01,8.029,0.000105957031224
1980-01-01,8.046,0.000166992187474
1981-01-01,7.801,0.000377441406272
1982-01-01,7.99,0.000198974609361
1983-01-01,8.161,0.000126708984396
1984-01-01,7.827,0.0001018066406
1985-01-01,8.261,0.000193847656249
1986-01-01,8.037,0.000201904296887
1987-01-01,8.326,0.000353027343749
1988-01-01,8.136,0.000477539062501
1989-01-01,8.287,4.93164062618e-05
1990-01-01,8.719,0.000445800781222
1991-01-01,8.169,0.000305419921858
1992-01-01,8.554,0.000406738281242
1993-01-01,8.754,0.000327392578129
1994-01-01,8.499,0.000257324218751
1995-01-01,8.544,9.13085937668e-05
1996-01-01,8.458,0.000150878906254
1997-01-01,8.419,0.000335449218767
1998-01-01,8.492,0.000272949218754
1999-01-01,8.411,0.000392089843729
2000-01-01,8.574,0.000458740234365
2001-01-01,8.439,0.000294433593751
2002-01-01,8.74,0.000382080078111
2003-01-01,8.615,0.000258789062514
2004-01-01,8.468,0.00041577148437
2005-01-01,8.37,0.000263671875018
2006-01-01,8.356,0.000476318359347
2007-01-01,8.558,0.000435058593723
2008-01-01,8.684,7.66601562532e-05
2009-01-01,8.677,4.15039062318e-06
2010-01-01,8.644,0.000494628906267
2011-01-01,8.724,0.000145507812476
2012-01-01,8.42,0.000480957031243
2013-01-01,9.032,0.000434082031234
2014-01-01,8.407,0.000464599609359
2015-01-01,8.567,0.00047778320311
2016-01-01,9.014,0.000151123046862
2017-01-01,9.016,0.000472656249997
2018-01-01,9.027,0.000181152343771
2019-01-01,9.177,0.000178955078127
2020-01-01,8.177,0.000309326171873
2021-01-01,8.489,0.00032812500001
2022-01-01,8.96,0.000258789062514
2023-01-01,8.949,6.00585937605e-05
2024-01-01,9.265,0.00026611328127
2025-01-01,9.112,0.000128662109375
2026-01-01,8.431,8.52050781077e-05
2027-01-01,9.052,0.000431396484373
2028-01-01,9.108,0.000422851562519
2029-01-01,9.068,0.000444824218732
2030-01-01,9.044,0.000121826171892
2031-01-01,9.266,0.000136962890622
2032-01-01,9.354,0.000394531249981
2033-01-01,9.471,0.000124267578144
2034-01-01,9.303,2.75878905995e-05
2035-01-01,9.416,0.000314697265651
2036-01-01,8.986,0.000166259765649
2037-01-01,9.46,0.000441894531264
2038-01-01,9.574,0.000397705078115
2039-01-01,9.339,0.000471435546899
2040-01-01,9.688,0.000134765624978
2041-01-01,9.445,0.000426025390652
2042-01-01,9.362,0.00028125
2043-01-01,9.579,3.90625001501e-06
2044-01-01,9.368,0.000208251953097
2045-01-01,9.55,0.000262451171864
2046-01-01,10.054,0.000437255859367
2047-01-01,9.312,0.000310791015636
2048-01-01,9.905,9.88769531318e-05
2049-01-01,10.152,0.000368164062479
2050-01-01,9.733,0.000270263671894
2051-01-01,9.598,0.000166748046865
2052-01-01,10.031,6.07910156418e-05
2053-01-01,10.175,1.22070312614e-05
2054-01-01,10.062,0.000249755859386
2055-01-01,10.15,0.000439453125011
2056-01-01,10.306,0.000390380859358
2057-01-01,10.379,0.000144287109379
2058-01-01,10.107,0.00049975585938
2059-01-01,9.979,0.000211425781231
2060-01-01,10.021,0.000467773437492
2061-01-01,10.057,0.000182373046869
2062-01-01,10.082,0.000371582031278
2063-01-01,10.57,0.000120849609402
2064-01-01,10.308,0.000404541015598
2065-01-01,10.572,0.000411865234355
2066-01-01,10.705,0.000377197265607
2067-01-01,10.331,4.85839843805e-05
2068-01-01,10.553,0.0002165527344
2069-01-01,10.496,9.545898439e-05
2070-01-01,10.468,0.00025561523438
2071-01-01,10.85,0.00030517578125
2072-01-01,10.618,0.000493652343778
2073-01-01,10.308,0.000236328125027
2074-01-01,10.137,0.000475585937522
2075-01-01,10.725,3.0517578125e-05
2076-01-01,10.45,2.44140625227e-05
2077-01-01,10.774,4.98046874782e-05
2078-01-01,10.629,0.000357910156254
2079-01-01,10.778,0.000253173828128
2080-01-01,11.03,0.000206298828118
2081-01-01,11.08,0.000377197265607
2082-01-01,11.244,0.00017065429688
2083-01-01,10.659,0.000192626953151
2084-01-01,10.926,0.000499511718772
2085-01-01,10.706,0.000226074218745
2086-01-01,10.887,7.88574218973e-05
2087-01-01,11.11,0.000498046875009
2088-01-01,11.441,5.76171875082e-05
2089-01-01,11.626,0.00018408203124
2090-01-01,11.402,0.000333740234396
2091-01-01,11.392,0.000435058593723
2092-01-01,11.234,0.000271972656265
2093-01-01,11.021,0.000437255859367
2094-01-01,11.273,6.51855468732e-05
2095-01-01,11.243,5.37109377774e-06
2096-01-01,11.139,0.000181640624987
2097-01-01,11.203,0.000454589843741
2098-01-01,11.049,0.000340820312488
