Date,BY11
1961-01-01,1582.4736352,196.701231179
1962-01-01,1449.4737088,112.622358302
1963-01-01,1446.9823648,100.082966075
1964-01-01,1535.8602736,163.837538828
1965-01-01,1692.27568,228.597611776
1966-01-01,1648.3712608,221.45751239
1967-01-01,1501.2085168,116.376114081
1968-01-01,1675.3124656,251.555232802
1969-01-01,1575.7406992,149.778943176
1970-01-01,1491.4134352,151.637006483
1971-01-01,1427.6098,109.624717901
1972-01-01,1610.4302992,179.643071465
1973-01-01,1595.901664,195.325226365
1974-01-01,1631.8590112,201.614118023
1975-01-01,1476.7618096,127.874121833
1976-01-01,1558.9351648,141.629830117
1977-01-01,1414.0461664,119.981980558
1978-01-01,1520.3382544,107.516985314
1979-01-01,1543.930336,162.831816943
1980-01-01,1447.6761568,167.313672753
1981-01-01,1470.5208352,157.277902215
1982-01-01,1747.510984,213.334456958
1983-01-01,1684.86472,180.36924155
1984-01-01,1566.2546704,146.684739521
1985-01-01,1671.69844,186.213542577
1986-01-01,1755.7292656,209.321360341
1987-01-01,1695.3567472,205.525297869
1988-01-01,1632.8492416,194.295973342
1989-01-01,1491.4702,132.610410226
1990-01-01,1817.6438944,230.502773314
1991-01-01,1671.2380144,165.958412876
1992-01-01,1896.849712,195.883435065
1993-01-01,1865.5912288,237.451564927
1994-01-01,1591.0861168,159.576761955
1995-01-01,1666.3026304,205.893480719
1996-01-01,1762.5315808,153.360828839
1997-01-01,1839.3532768,293.000836931
1998-01-01,1586.1665008,205.045164119
1999-01-01,1539.0327952,166.974584746
2000-01-01,1452.8102176,123.157814014
2001-01-01,1450.1391184,152.876630291
2002-01-01,1667.0058832,212.978040618
2003-01-01,1820.6366608,207.879582367
2004-01-01,1637.6111776,166.930426208
2005-01-01,1717.1859664,188.662307462
2006-01-01,1738.9521136,178.752705922
2007-01-01,1437.6319408,178.305580606
2008-01-01,1750.0244032,230.960156639
2009-01-01,1677.1415536,116.451154162
2010-01-01,1921.0598992,226.272298194
2011-01-01,1708.5072592,183.571602481
2012-01-01,1735.905736,179.566920845
2013-01-01,1716.3439552,208.696108031
2014-01-01,1472.1796288,159.971836884
2015-01-01,1596.3999328,190.13885633
2016-01-01,1718.3054944,219.346690695
2017-01-01,1786.7323072,160.708396617
2018-01-01,1641.4207264,130.350097935
2019-01-01,1816.4707552,221.798103325
2020-01-01,1467.1527904,153.673273714
2021-01-01,1536.0242608,134.504443375
2022-01-01,1769.46004,168.952800651
2023-01-01,1629.9826192,169.361577997
2024-01-01,1704.0196864,223.538814752
2025-01-01,1689.59512,148.27658122
2026-01-01,1562.2022944,171.882825134
2027-01-01,1830.2709088,216.982656795
2028-01-01,1603.1265616,176.522488914
2029-01-01,1610.4902176,118.596303267
2030-01-01,1649.9890576,251.805659552
2031-01-01,1831.2832144,218.538264778
2032-01-01,1755.9342496,174.735845091
2033-01-01,1753.345144,223.244470392
2034-01-01,1701.0710704,243.093302833
2035-01-01,1742.6260576,208.878501492
2036-01-01,1574.1512848,155.490587948
2037-01-01,1851.721696,261.925594036
2038-01-01,1813.7460448,204.754926997
2039-01-01,1694.2340656,226.133992161
2040-01-01,1651.6983088,222.642301214
2041-01-01,1809.7283584,207.171521589
2042-01-01,1756.6974208,146.958645974
2043-01-01,1779.4853344,171.661998028
2044-01-01,1692.338752,139.353526268
2045-01-01,2025.311608,279.122991718
2046-01-01,1769.5262656,175.071821186
