Date,BY11
1989-01-01,0.0,
1989-01-11,0.66,
1989-01-21,0.09,
1989-02-01,1.24,
1989-02-11,3.74,
1989-02-21,5.94,
1989-03-01,6.52,
1989-03-11,13.43,
1989-03-21,22.93,
1989-04-01,17.5,
1989-04-11,28.11,
1989-04-21,24.12,
1989-05-01,30.89,
1989-05-11,39.98,
1989-05-21,52.4,
1989-06-01,30.86,
1989-06-11,42.48,
1989-06-21,40.23,
1989-07-01,42.57,
1989-07-11,41.47,
1989-07-21,45.13,
1989-08-01,32.44,
1989-08-11,39.73,
1989-08-21,32.15,
1989-09-01,20.76,
1989-09-11,19.28,
1989-09-21,12.39,
1989-10-01,10.59,
1989-10-11,8.75,
1989-10-21,8.01,
1989-11-01,0.88,
1989-11-11,0.85,
1989-11-21,0.51,
1989-12-01,0.06,
1989-12-11,2.48,
1989-12-21,0.91,
1990-01-01,0.02,
1990-01-11,0.93,
1990-01-21,3.49,
1990-02-01,6.06,
1990-02-11,3.42,
1990-02-21,8.4,
1990-03-01,11.34,
1990-03-11,16.46,
1990-03-21,18.04,
1990-04-01,22.29,
1990-04-11,22.11,
1990-04-21,19.55,
1990-05-01,39.79,
1990-05-11,36.46,
1990-05-21,43.78,
1990-06-01,29.93,
1990-06-11,35.57,
1990-06-21,35.57,
1990-07-01,34.94,
1990-07-11,45.7,
1990-07-21,49.57,
1990-08-01,41.9,
1990-08-11,31.47,
1990-08-21,36.14,
1990-09-01,18.48,
1990-09-11,17.4,
1990-09-21,16.13,
1990-10-01,13.86,
1990-10-11,9.77,
1990-10-21,7.66,
1990-11-01,1.86,
1990-11-11,1.54,
1990-11-21,0.55,
1990-12-01,0.02,
1990-12-11,0.04,
1990-12-21,1.09,
1991-01-01,3.91,
1991-01-11,0.57,
1991-01-21,0.43,
1991-02-01,2.4,
1991-02-11,3.18,
1991-02-21,4.03,
1991-03-01,8.01,
1991-03-11,11.21,
1991-03-21,14.17,
1991-04-01,18.62,
1991-04-11,21.76,
1991-04-21,20.34,
1991-05-01,21.08,
1991-05-11,28.22,
1991-05-21,35.72,
1991-06-01,38.94,
1991-06-11,37.29,
1991-06-21,38.02,
1991-07-01,49.77,
1991-07-11,40.18,
1991-07-21,45.07,
1991-08-01,34.17,
1991-08-11,30.82,
1991-08-21,30.75,
1991-09-01,29.84,
1991-09-11,19.72,
1991-09-21,19.65,
1991-10-01,16.07,
1991-10-11,11.05,
1991-10-21,5.9,
1991-11-01,4.93,
1991-11-11,1.9,
1991-11-21,0.0,
1991-12-01,0.02,
1991-12-11,0.71,
1991-12-21,0.79,
1992-01-01,1.84,
1992-01-11,0.83,
1992-01-21,0.12,
1992-02-01,1.62,
1992-02-11,1.84,
1992-02-21,4.59,
1992-03-01,12.36,
1992-03-11,10.84,
1992-03-21,12.56,
1992-04-01,18.91,
1992-04-11,27.38,
1992-04-21,28.82,
1992-05-01,30.36,
1992-05-11,43.48,
1992-05-21,54.93,
1992-06-01,45.44,
1992-06-11,43.26,
1992-06-21,53.23,
1992-07-01,37.09,
1992-07-11,42.13,
1992-07-21,55.71,
1992-08-01,50.96,
1992-08-11,33.55,
1992-08-21,38.94,
1992-09-01,24.58,
1992-09-11,20.54,
1992-09-21,19.54,
1992-10-01,11.37,
1992-10-11,9.12,
1992-10-21,4.52,
1992-11-01,3.03,
1992-11-11,2.92,
1992-11-21,1.41,
1992-12-01,0.66,
1992-12-11,0.09,
1992-12-21,0.0,
1993-01-01,0.69,
1993-01-11,5.09,
1993-01-21,4.85,
1993-02-01,0.58,
1993-02-11,3.11,
1993-02-21,3.23,
1993-03-01,7.89,
1993-03-11,13.41,
1993-03-21,15.24,
1993-04-01,15.8,
1993-04-11,24.2,
1993-04-21,49.46,
1993-05-01,36.54,
1993-05-11,50.73,
1993-05-21,37.18,
1993-06-01,47.7,
1993-06-11,32.96,
1993-06-21,35.81,
1993-07-01,45.47,
1993-07-11,27.09,
1993-07-21,38.06,
1993-08-01,38.53,
1993-08-11,40.54,
1993-08-21,27.52,
1993-09-01,16.89,
1993-09-11,17.1,
1993-09-21,17.7,
1993-10-01,13.17,
1993-10-11,10.24,
1993-10-21,2.55,
1993-11-01,0.54,
1993-11-11,0.85,
1993-11-21,0.26,
1993-12-01,1.57,
1993-12-11,2.2,
1993-12-21,0.44,
1994-01-01,0.38,
1994-01-11,1.63,
1994-01-21,3.38,
1994-02-01,1.29,
1994-02-11,5.04,
1994-02-21,2.83,
1994-03-01,5.9,
1994-03-11,11.86,
1994-03-21,16.69,
1994-04-01,18.92,
1994-04-11,16.69,
1994-04-21,32.63,
1994-05-01,34.06,
1994-05-11,34.36,
1994-05-21,31.92,
1994-06-01,39.68,
1994-06-11,39.66,
1994-06-21,56.11,
1994-07-01,47.93,
1994-07-11,48.76,
1994-07-21,66.93,
1994-08-01,50.0,
1994-08-11,29.38,
1994-08-21,30.62,
1994-09-01,23.2,
1994-09-11,21.35,
1994-09-21,15.14,
1994-10-01,9.52,
1994-10-11,9.44,
1994-10-21,9.6,
1994-11-01,5.33,
1994-11-11,2.35,
1994-11-21,0.28,
1994-12-01,0.43,
1994-12-11,1.25,
1994-12-21,1.48,
1995-01-01,0.73,
1995-01-11,0.51,
1995-01-21,3.91,
1995-02-01,3.5,
1995-02-11,6.48,
1995-02-21,5.78,
1995-03-01,9.84,
1995-03-11,13.47,
1995-03-21,16.97,
1995-04-01,19.39,
1995-04-11,15.46,
1995-04-21,34.36,
1995-05-01,35.35,
1995-05-11,25.29,
1995-05-21,47.27,
1995-06-01,27.35,
1995-06-11,29.55,
1995-06-21,39.49,
1995-07-01,52.47,
1995-07-11,41.13,
1995-07-21,56.76,
1995-08-01,47.02,
1995-08-11,38.84,
1995-08-21,28.92,
1995-09-01,20.16,
1995-09-11,17.9,
1995-09-21,13.95,
1995-10-01,10.94,
1995-10-11,6.7,
1995-10-21,5.0,
1995-11-01,1.96,
1995-11-11,1.31,
1995-11-21,0.0,
1995-12-01,0.74,
1995-12-11,0.01,
1995-12-21,0.25,
1996-01-01,0.08,
1996-01-11,0.09,
1996-01-21,1.91,
1996-02-01,1.75,
1996-02-11,2.88,
1996-02-21,4.66,
1996-03-01,7.84,
1996-03-11,9.25,
1996-03-21,14.36,
1996-04-01,16.74,
1996-04-11,26.14,
1996-04-21,32.12,
1996-05-01,19.34,
1996-05-11,26.73,
1996-05-21,38.23,
1996-06-01,46.43,
1996-06-11,43.4,
1996-06-21,28.05,
1996-07-01,33.74,
1996-07-11,34.69,
1996-07-21,38.39,
1996-08-01,35.43,
1996-08-11,29.12,
1996-08-21,30.32,
