Date,BY11
1989-01-01,0.0,
1989-01-11,0.12,
1989-01-21,0.44,
1989-02-01,1.67,
1989-02-11,5.97,
1989-02-21,4.61,
1989-03-01,11.37,
1989-03-11,15.01,
1989-03-21,27.64,
1989-04-01,17.52,
1989-04-11,20.06,
1989-04-21,23.15,
1989-05-01,49.08,
1989-05-11,49.63,
1989-05-21,65.16,
1989-06-01,38.84,
1989-06-11,66.43,
1989-06-21,45.92,
1989-07-01,43.24,
1989-07-11,57.58,
1989-07-21,59.51,
1989-08-01,41.62,
1989-08-11,48.22,
1989-08-21,39.14,
1989-09-01,30.97,
1989-09-11,24.33,
1989-09-21,19.37,
1989-10-01,13.88,
1989-10-11,10.86,
1989-10-21,13.04,
1989-11-01,3.74,
1989-11-11,1.98,
1989-11-21,1.04,
1989-12-01,0.13,
1989-12-11,5.37,
1989-12-21,1.12,
1990-01-01,0.0,
1990-01-11,0.24,
1990-01-21,6.14,
1990-02-01,8.76,
1990-02-11,7.12,
1990-02-21,9.64,
1990-03-01,15.06,
1990-03-11,20.19,
1990-03-21,23.44,
1990-04-01,26.91,
1990-04-11,23.6,
1990-04-21,32.12,
1990-05-01,53.39,
1990-05-11,50.13,
1990-05-21,61.42,
1990-06-01,38.56,
1990-06-11,38.46,
1990-06-21,51.09,
1990-07-01,38.28,
1990-07-11,66.01,
1990-07-21,73.08,
1990-08-01,66.23,
1990-08-11,47.46,
1990-08-21,41.0,
1990-09-01,24.83,
1990-09-11,29.9,
1990-09-21,18.11,
1990-10-01,15.76,
1990-10-11,12.48,
1990-10-21,11.55,
1990-11-01,3.26,
1990-11-11,2.13,
1990-11-21,1.25,
1990-12-01,0.46,
1990-12-11,0.6,
1990-12-21,0.84,
1991-01-01,2.83,
1991-01-11,2.55,
1991-01-21,1.17,
1991-02-01,4.29,
1991-02-11,4.77,
1991-02-21,6.44,
1991-03-01,10.44,
1991-03-11,14.98,
1991-03-21,20.91,
1991-04-01,27.46,
1991-04-11,36.57,
1991-04-21,30.04,
1991-05-01,32.92,
1991-05-11,37.01,
1991-05-21,61.1,
1991-06-01,43.53,
1991-06-11,41.41,
1991-06-21,46.68,
1991-07-01,67.97,
1991-07-11,57.46,
1991-07-21,57.27,
1991-08-01,51.54,
1991-08-11,54.38,
1991-08-21,60.98,
1991-09-01,42.61,
1991-09-11,30.29,
1991-09-21,19.16,
1991-10-01,15.79,
1991-10-11,10.57,
1991-10-21,6.79,
1991-11-01,6.21,
1991-11-11,2.65,
1991-11-21,0.45,
1991-12-01,1.01,
1991-12-11,0.66,
1991-12-21,0.66,
1992-01-01,0.9,
1992-01-11,0.33,
1992-01-21,2.36,
1992-02-01,2.5,
1992-02-11,0.9,
1992-02-21,8.42,
1992-03-01,15.0,
1992-03-11,13.57,
1992-03-21,15.76,
1992-04-01,28.59,
1992-04-11,30.25,
1992-04-21,35.13,
1992-05-01,37.0,
1992-05-11,62.54,
1992-05-21,55.83,
1992-06-01,35.45,
1992-06-11,52.65,
