Date,BY11
1961-01-01,909.31564,
1962-01-01,872.4532096,
1963-01-01,1013.2709104,
1964-01-01,953.0308432,
1965-01-01,755.2969696,
1966-01-01,803.2033072,
1967-01-01,950.6530288,
1968-01-01,786.4166944,
1969-01-01,1083.0096208,
1970-01-01,925.588216,
1971-01-01,1031.7510064,
1972-01-01,918.6976,
1973-01-01,885.143296,
1974-01-01,848.0065024,
1975-01-01,1005.216616,
1976-01-01,1003.4411392,
1977-01-01,912.9202048,
1978-01-01,969.139432,
1979-01-01,850.2392512,
1980-01-01,817.451272,
1981-01-01,967.6193968,
1982-01-01,898.4546416,
1983-01-01,909.9242848,
1984-01-01,1081.5999616,
1985-01-01,829.1164384,
1986-01-01,813.0803824,
1987-01-01,776.738296,
1988-01-01,875.4270544,
1989-01-01,892.6804,
1990-01-01,879.9367024,
1991-01-01,944.1849952,
1992-01-01,991.5741424,
1993-01-01,873.6105808,
1994-01-01,1014.0340816,
1995-01-01,807.9147856,
1996-01-01,949.5051184,
1997-01-01,835.1555824,
1998-01-01,996.8059648,
1999-01-01,894.7870048,
2000-01-01,1108.54432,
2001-01-01,909.5616208,
2002-01-01,949.4073568,
2003-01-01,849.3436288,
2004-01-01,946.5943456,
2005-01-01,1038.802456,
2006-01-01,831.532096,
2007-01-01,885.2631328,
2008-01-01,814.818016,
2009-01-01,1029.042064,
2010-01-01,805.5338176,
2011-01-01,877.7891008,
2012-01-01,1016.5569616,
2013-01-01,849.0881872,
2014-01-01,986.8185136,
2015-01-01,944.5192768,
2016-01-01,761.947912,
2017-01-01,989.8333552,
2018-01-01,995.456224,
2019-01-01,828.0915184,
2020-01-01,871.582816,
2021-01-01,836.6913856,
2022-01-01,803.0897776,
2023-01-01,851.4817696,
2024-01-01,894.3265792,
2025-01-01,961.3531936,
2026-01-01,1021.0697632,
2027-01-01,827.180128,
2028-01-01,877.4422048,
2029-01-01,991.9620352,
2030-01-01,838.1988064,
2031-01-01,923.2324768,
2032-01-01,910.3437136,
2033-01-01,887.934232,
2034-01-01,916.25356,
2035-01-01,847.6123024,
2036-01-01,839.7913744,
2037-01-01,836.1962704,
2038-01-01,854.7173632,
2039-01-01,897.7482352,
2040-01-01,919.3787776,
2041-01-01,764.7924592,
2042-01-01,834.3261856,
2043-01-01,861.664744,
2044-01-01,799.5167488,
2045-01-01,796.4577568,
2046-01-01,1011.3251392,
2047-01-01,989.2310176,
2048-01-01,752.0866048,
2049-01-01,936.4271392,
2050-01-01,1056.6770608,
2051-01-01,874.2570688,
2052-01-01,950.2745968,
2053-01-01,1007.518744,
2054-01-01,968.3100352,
2055-01-01,842.0304304,
2056-01-01,929.0603296,
2057-01-01,796.2559264,
2058-01-01,888.3378928,
2059-01-01,890.378272,
2060-01-01,1004.3052256,
2061-01-01,875.3734432,
2062-01-01,824.688784,
2063-01-01,976.1120416,
2064-01-01,762.0046768,
2065-01-01,907.9501312,
2066-01-01,739.4501296,
2067-01-01,852.0967216,
2068-01-01,966.1813552,
2069-01-01,917.4771568,
2070-01-01,779.9265856,
2071-01-01,785.69452,
2072-01-01,931.5232912,
2073-01-01,818.5455712,
2074-01-01,890.9490736,
2075-01-01,978.032584,
2076-01-01,828.4825648,
2077-01-01,830.0215216,
2078-01-01,897.3981856,
2079-01-01,817.8328576,
2080-01-01,900.9365248,
2081-01-01,801.1660816,
2082-01-01,811.4184352,
2083-01-01,866.8334944,
2084-01-01,803.4082912,
2085-01-01,827.6437072,
2086-01-01,883.787248,
2087-01-01,930.0127168,
2088-01-01,833.014288,
2089-01-01,796.4861392,
2090-01-01,937.14616,
2091-01-01,882.636184,
2092-01-01,968.2154272,
2093-01-01,860.0595616,
2094-01-01,885.285208,
2095-01-01,800.8223392,
2096-01-01,982.0029664,
2097-01-01,820.7720128,
2098-01-01,860.072176,
