Date,LY11
1950-06-01,-1.15397,
1950-07-01,-1.50207,
1950-08-01,-1.71095,
1950-09-01,-1.10774,
1950-10-01,-0.800402,
1950-11-01,-0.556378,
1950-12-01,0.355983,
1951-01-01,1.17206,
1951-02-01,1.72226,
1951-03-01,1.59136,
1951-04-01,0.619974,
1951-05-01,0.894192,
1951-06-01,0.475556,
1951-07-01,1.55181,
1951-08-01,1.43764,
1951-09-01,1.23885,
1951-10-01,0.012711,
1951-11-01,-0.358705,
1951-12-01,-0.107029,
1952-01-01,0.443003,
1952-02-01,1.37204,
1952-03-01,1.46697,
1952-04-01,0.19378,
1952-05-01,-2.52252,
1952-06-01,-2.33936,
1952-07-01,-1.44848,
1952-08-01,-1.25941,
1952-09-01,-1.32757,
1952-10-01,-0.186013,
1952-11-01,0.246574,
1952-12-01,1.13313,
1953-01-01,0.534674,
1953-02-01,0.407443,
1953-03-01,-1.6318,
1953-04-01,-1.77103,
1953-05-01,,
1953-06-01,-1.03499,
1953-07-01,-0.437394,
1953-08-01,-0.129152,
1953-09-01,-0.749009,
1953-10-01,-0.382471,
1953-11-01,-0.302711,
1953-12-01,-0.858689,
1954-01-01,-1.62671,
1954-02-01,-0.442885,
1954-03-01,0.803732,
1954-04-01,0.779653,
1954-05-01,0.808125,
1954-06-01,0.052079,
1954-07-01,0.183965,
1954-08-01,-0.0954221,
1954-09-01,0.257322,
1954-10-01,0.181849,
1954-11-01,-0.113278,
1954-12-01,-0.171708,
1955-01-01,1.42532,
1955-02-01,1.59957,
1955-03-01,1.03441,
1955-04-01,-2.63717,
1955-05-01,,
1955-06-01,-1.59944,
1955-07-01,0.49355,
1955-08-01,0.73144,
1955-09-01,1.13463,
1955-10-01,-0.446476,
1955-11-01,-0.0592707,
1955-12-01,-0.0976591,
1956-01-01,0.425995,
1956-02-01,0.0455244,
1956-03-01,-1.04756,
1956-04-01,-1.0962,
1956-05-01,0.189195,
1956-06-01,0.298936,
1956-07-01,0.26716,
1956-08-01,0.321833,
1956-09-01,1.18983,
1956-10-01,0.512214,
1956-11-01,0.0274612,
1956-12-01,-0.485897,
1957-01-01,-0.812364,
1957-02-01,-0.395622,
1957-03-01,-0.258408,
1957-04-01,0.764066,
1957-05-01,0.975746,
