Date,LY11
1961-01-01,12.621,
1962-01-01,11.964,
1963-01-01,12.565,
1964-01-01,12.407,
1965-01-01,12.772,
1966-01-01,12.772,
1967-01-01,12.588,
1968-01-01,12.215,
1969-01-01,12.184,
1970-01-01,12.252,
1971-01-01,11.592,
1972-01-01,12.232,
1973-01-01,13.191,
1974-01-01,12.398,
1975-01-01,12.023,
1976-01-01,12.712,
1977-01-01,11.358,
1978-01-01,12.536,
1979-01-01,12.282,
1980-01-01,12.387,
1981-01-01,12.159,
1982-01-01,12.175,
1983-01-01,12.532,
1984-01-01,12.369,
1985-01-01,12.649,
1986-01-01,12.481,
1987-01-01,12.676,
1988-01-01,12.228,
1989-01-01,12.634,
1990-01-01,13.198,
1991-01-01,12.807,
1992-01-01,13.361,
1993-01-01,13.539,
1994-01-01,13.179,
1995-01-01,12.766,
1996-01-01,12.797,
1997-01-01,12.836,
1998-01-01,12.94,
1999-01-01,12.535,
2000-01-01,12.724,
2001-01-01,12.751,
2002-01-01,12.796,
2003-01-01,13.162,
2004-01-01,12.94,
2005-01-01,12.45,
2006-01-01,12.663,
2007-01-01,12.846,
2008-01-01,12.842,
2009-01-01,12.828,
2010-01-01,13.096,
2011-01-01,13.375,
2012-01-01,12.808,
2013-01-01,13.405,
2014-01-01,12.872,
2015-01-01,12.951,
2016-01-01,13.287,
