Date,LY11
1999-06-01,0.0103605,
1999-07-01,0.111286,
1999-08-01,-0.354292,
1999-09-01,0.490222,
1999-10-01,-0.267061,
1999-11-01,0.10137,
1999-12-01,0.380844,
2000-01-01,-0.0997732,
2000-02-01,-0.12738,
2000-03-01,-0.900977,
2000-04-01,0.178311,
2000-05-01,-0.369191,
2000-06-01,0.580078,
2000-07-01,0.751777,
2000-08-01,1.01519,
2000-09-01,-0.123318,
2000-10-01,0.347218,
2000-11-01,0.713606,
2000-12-01,0.618783,
2001-01-01,0.584324,
2001-02-01,-0.230258,
2001-03-01,0.875622,
2001-04-01,0.535624,
2001-05-01,0.729658,
2001-06-01,-0.240546,
2001-07-01,-0.0970607,
2001-08-01,-0.194007,
2001-09-01,-0.506144,
2001-10-01,-1.4195,
2001-11-01,-1.63579,
2001-12-01,-1.87028,
2002-01-01,-2.2167,
2002-02-01,-0.953203,
2002-03-01,-0.782303,
2002-04-01,-0.895457,
2002-05-01,-0.599593,
2002-06-01,0.364555,
2002-07-01,1.01719,
2002-08-01,0.877863,
2002-09-01,0.282249,
2002-10-01,0.173563,
2002-11-01,0.178468,
2002-12-01,0.723931,
2003-01-01,0.689382,
2003-02-01,0.477394,
2003-03-01,-0.0994333,
2003-04-01,-1.37915,
2003-05-01,-2.33162,
2003-06-01,-1.89774,
2003-07-01,-1.57607,
2003-08-01,-1.68027,
2003-09-01,-1.39366,
2003-10-01,-0.355657,
2003-11-01,-0.00282886,
2003-12-01,0.428747,
2004-01-01,1.82583,
2004-02-01,1.47258,
2004-03-01,1.11251,
2004-04-01,0.0766076,
2004-05-01,0.381504,
2004-06-01,-0.458186,
2004-07-01,-1.30918,
2004-08-01,-0.801082,
2004-09-01,-0.484729,
2004-10-01,1.01406,
2004-11-01,0.471182,
2004-12-01,0.613585,
2005-01-01,-1.01856,
2005-02-01,-1.23996,
2005-03-01,-1.7333,
2005-04-01,-1.17294,
2005-05-01,-0.909497,
2005-06-01,-0.825533,
2005-07-01,-1.32456,
2005-08-01,-0.934264,
2005-09-01,0.444516,
2005-10-01,0.525924,
2005-11-01,0.317944,
2005-12-01,-0.3831,
2006-01-01,-0.476421,
2006-02-01,-1.00638,
2006-03-01,0.489717,
2006-04-01,-0.203721,
2006-05-01,-0.312521,
2006-06-01,-1.34909,
2006-07-01,-0.683063,
2006-08-01,-0.174056,
2006-09-01,0.727192,
2006-10-01,0.966254,
2006-11-01,0.555427,
2006-12-01,-0.658865,
2007-01-01,-2.05025,
2007-02-01,-1.13616,
2007-03-01,-0.394458,
2007-04-01,-0.104411,
2007-05-01,1.02117,
2007-06-01,0.727642,
2007-07-01,0.720125,
2007-08-01,-0.271307,
2007-09-01,-0.896415,
2007-10-01,-0.660274,
2007-11-01,-1.94165,
2007-12-01,-1.47319,
2008-01-01,-0.808186,
2008-02-01,-0.537322,
2008-03-01,0.0480673,
2008-04-01,0.0647405,
2008-05-01,1.30822,
2008-06-01,0.668104,
2008-07-01,0.58359,
2008-08-01,0.0918997,
2008-09-01,-0.720704,
2008-10-01,-0.582118,
2008-11-01,0.270507,
2008-12-01,0.629159,
2009-01-01,1.08384,
2009-02-01,0.174089,
2009-03-01,-0.26414,
2009-04-01,0.398204,
2009-05-01,0.198766,
2009-06-01,0.208081,
2009-07-01,-1.15796,
2009-08-01,-1.33836,
2009-09-01,-1.9847,
2009-10-01,-1.43799,
2009-11-01,-0.159726,
2009-12-01,0.136604,
2010-01-01,0.464558,
2010-02-01,-0.312032,
2010-03-01,-0.468407,
2010-04-01,-1.66511,
2010-05-01,-0.510175,
2010-06-01,0.328368,
2010-07-01,0.677524,
2010-08-01,-0.201292,
2010-09-01,-1.55017,
2010-10-01,-0.323363,
2010-11-01,0.474019,
2010-12-01,0.190451,
2011-01-01,-0.777005,
2011-02-01,-1.23277,
2011-03-01,-0.840016,
2011-04-01,-1.11398,
2011-05-01,-2.39751,
2011-06-01,-1.59052,
2011-07-01,-0.0228533,
2011-08-01,0.481452,
2011-09-01,0.426993,
2011-10-01,-1.25798,
2011-11-01,-1.36446,
2011-12-01,-0.919516,
2012-01-01,-0.848057,
2012-02-01,-1.14779,
2012-03-01,,
2012-04-01,,
2012-05-01,,
2012-06-01,,
2012-07-01,,
2012-08-01,,
2012-09-01,,
2012-10-01,,
2012-11-01,,
2012-12-01,,
