Date,BY11
1989-01-01,0.08,
1989-01-11,0.08,
1989-01-21,1.08,
1989-02-01,3.14,
1989-02-11,4.45,
1989-02-21,5.35,
1989-03-01,10.75,
1989-03-11,12.09,
1989-03-21,22.23,
1989-04-01,17.69,
1989-04-11,16.67,
1989-04-21,21.97,
1989-05-01,36.32,
1989-05-11,32.3,
1989-05-21,41.43,
1989-06-01,27.01,
1989-06-11,45.32,
1989-06-21,34.21,
1989-07-01,30.62,
1989-07-11,36.02,
1989-07-21,40.18,
1989-08-01,29.94,
1989-08-11,32.33,
1989-08-21,29.75,
1989-09-01,19.58,
1989-09-11,18.49,
1989-09-21,12.05,
1989-10-01,8.65,
1989-10-11,8.41,
1989-10-21,9.13,
1989-11-01,2.23,
1989-11-11,1.03,
1989-11-21,0.11,
1989-12-01,0.0,
1989-12-11,2.58,
1989-12-21,0.18,
1990-01-01,0.0,
1990-01-11,0.35,
1990-01-21,3.02,
1990-02-01,5.38,
1990-02-11,4.63,
1990-02-21,7.45,
1990-03-01,11.69,
1990-03-11,15.64,
1990-03-21,16.85,
1990-04-01,16.08,
1990-04-11,15.93,
1990-04-21,22.73,
1990-05-01,37.77,
1990-05-11,32.81,
1990-05-21,37.71,
1990-06-01,24.84,
1990-06-11,32.45,
1990-06-21,37.25,
1990-07-01,28.06,
1990-07-11,49.05,
1990-07-21,50.75,
1990-08-01,41.15,
1990-08-11,35.32,
1990-08-21,30.16,
1990-09-01,19.09,
1990-09-11,18.42,
1990-09-21,14.05,
1990-10-01,10.55,
1990-10-11,10.6,
1990-10-21,6.2,
1990-11-01,1.83,
