Date,BY11
1961-01-01,446.1747904,58.0754380617
1962-01-01,482.1731344,65.1744985546
1963-01-01,487.6730128,80.2532423028
1964-01-01,457.767424,63.7247935549
1965-01-01,355.2060448,52.2335693104
1966-01-01,427.9753648,63.297984387
1967-01-01,483.6837088,79.0234094631
1968-01-01,409.4164288,52.4230895455
1969-01-01,499.1962672,66.6610493054
1970-01-01,455.4211456,65.3972933807
1971-01-01,432.4219408,58.9131474076
1972-01-01,450.30916,59.1360558503
1973-01-01,435.5944624,61.9998312859
1974-01-01,434.4055552,63.2745971011
1975-01-01,493.5418624,79.9364512073
1976-01-01,511.757056,76.0909828399
1977-01-01,470.3376736,68.7999333216
1978-01-01,495.8976016,71.2284984458
1979-01-01,365.6791504,51.7833103177
1980-01-01,436.3292512,60.5138029677
1981-01-01,450.1073296,62.4963587512
1982-01-01,428.0415904,53.6718385934
1983-01-01,376.8965056,52.6126664681
1984-01-01,461.220616,69.7962751562
1985-01-01,390.6651232,57.0205497497
1986-01-01,403.0303888,52.8342269682
1987-01-01,364.21588,50.8960262351
1988-01-01,410.3088976,52.9669633239
1989-01-01,463.6457344,55.3525723947
1990-01-01,384.130864,56.6827961049
1991-01-01,452.6333632,55.1064267529
1992-01-01,425.7867664,65.7175864588
1993-01-01,430.2238816,51.9405877206
1994-01-01,443.2892464,61.8298422644
1995-01-01,421.8542272,59.0515316926
1996-01-01,418.0825216,57.1291157741
1997-01-01,350.5513312,39.979820482
1998-01-01,409.23352,52.9598280797
1999-01-01,486.8215408,70.0096322751
2000-01-01,514.0244944,78.2173474258
2001-01-01,475.3392832,62.4069740892
2002-01-01,434.2604896,55.3960862255
