Date,BY11
1961-01-01,630.8748352,
1962-01-01,657.2830816,
1963-01-01,684.0508384,
1964-01-01,590.754736,
1965-01-01,621.1838224,
1966-01-01,645.0408064,
1967-01-01,632.6786944,
1968-01-01,548.244208,
1969-01-01,544.1476816,
1970-01-01,620.5373344,
1971-01-01,653.5839088,
1972-01-01,630.1715824,
1973-01-01,629.3484928,
1974-01-01,618.6830176,
1975-01-01,616.6394848,
1976-01-01,649.1247184,
1977-01-01,642.5652304,
1978-01-01,657.42184,
1979-01-01,601.7797216,
1980-01-01,617.2165936,
1981-01-01,582.3850816,
1982-01-01,555.2042032,
1983-01-01,637.00228,
1984-01-01,631.6033168,
1985-01-01,629.607088,
1986-01-01,638.6957632,
1987-01-01,630.3860272,
1988-01-01,674.1327664,
1989-01-01,595.0184032,
1990-01-01,614.9680768,
1991-01-01,684.2526688,
1992-01-01,702.5845456,
1993-01-01,705.2966416,
1994-01-01,652.1143312,
1995-01-01,595.989712,
1996-01-01,698.2956496,
1997-01-01,650.8434304,
1998-01-01,570.3856336,
1999-01-01,631.6285456,
2000-01-01,645.3309376,
2001-01-01,640.6036912,
2002-01-01,651.414232,
2003-01-01,683.4011968,
2004-01-01,645.3372448,
2005-01-01,669.8249488,
2006-01-01,648.3741616,
2007-01-01,584.2457056,
2008-01-01,612.0383824,
2009-01-01,691.0139872,
2010-01-01,597.393064,
2011-01-01,586.0842544,
2012-01-01,585.3683872,
2013-01-01,591.7985776,
2014-01-01,611.6599504,
2015-01-01,651.8998864,
2016-01-01,631.593856,
2017-01-01,600.8399488,
2018-01-01,619.3610416,
2019-01-01,650.7961264,
2020-01-01,614.6653312,
2021-01-01,639.1435744,
2022-01-01,620.398576,
2023-01-01,636.5828512,
2024-01-01,628.392952,
2025-01-01,679.244752,
2026-01-01,590.0199472,
2027-01-01,633.2084992,
2028-01-01,590.9534128,
2029-01-01,711.19072,
2030-01-01,605.0626192,
2031-01-01,647.7529024,
2032-01-01,664.2619984,
2033-01-01,638.7083776,
2034-01-01,641.0735776,
2035-01-01,640.3640176,
2036-01-01,612.0131536,
2037-01-01,602.848792,
2038-01-01,628.1312032,
2039-01-01,648.3268576,
2040-01-01,607.1818384,
2041-01-01,635.7534544,
2042-01-01,674.7004144,
2043-01-01,573.3531712,
2044-01-01,662.4739072,
2045-01-01,696.2773456,
2046-01-01,677.8918576,
2047-01-01,619.9507648,
2048-01-01,653.1077152,
2049-01-01,631.4645584,
2050-01-01,685.2744352,
2051-01-01,587.758816,
2052-01-01,650.8371232,
2053-01-01,659.3486896,
2054-01-01,686.3750416,
2055-01-01,618.2982784,
2056-01-01,568.900288,
2057-01-01,639.067888,
2058-01-01,620.1368272,
2059-01-01,667.0277056,
2060-01-01,618.1185232,
2061-01-01,630.7234624,
2062-01-01,637.6550752,
2063-01-01,578.1024928,
2064-01-01,603.57412,
2065-01-01,663.981328,
2066-01-01,649.4243104,
2067-01-01,650.1622528,
2068-01-01,665.9807104,
2069-01-01,613.239904,
2070-01-01,572.7035296,
2071-01-01,623.1548224,
2072-01-01,673.9908544,
2073-01-01,648.7904368,
2074-01-01,583.8609664,
2075-01-01,630.9252928,
2076-01-01,684.0413776,
2077-01-01,594.807112,
2078-01-01,604.961704,
2079-01-01,665.763112,
2080-01-01,684.8770816,
2081-01-01,634.1545792,
2082-01-01,682.1429104,
2083-01-01,610.0831504,
2084-01-01,568.0267408,
2085-01-01,572.5458496,
2086-01-01,604.8008704,
2087-01-01,661.7075824,
2088-01-01,714.6376048,
2089-01-01,651.0704896,
2090-01-01,750.5886448,
2091-01-01,687.822544,
2092-01-01,664.4480608,
2093-01-01,615.747016,
2094-01-01,721.7521264,
2095-01-01,638.8502896,
2096-01-01,660.4966,
2097-01-01,709.0872688,
2098-01-01,604.3499056,
