Date,BY11
1989-01-01,0.0615,0.04635
1989-01-11,0.346,0.068
1989-01-21,1.089,0.2345
1989-02-01,2.6205,0.2763
1989-02-11,6.0155,0.4425
1989-02-21,4.5505,0.21635
1989-03-01,11.522,0.5114
1989-03-11,13.446,0.4164
1989-03-21,25.3735,0.84085
1989-04-01,17.085,0.46
1989-04-11,17.0465,0.68115
1989-04-21,22.1445,0.5626
1989-05-01,45.9035,1.54815
1989-05-11,41.6515,1.5712
1989-05-21,48.753,1.3667
1989-06-01,36.729,0.8702
1989-06-11,60.7055,1.95495
1989-06-21,42.5945,0.85495
1989-07-01,36.514,0.8442
1989-07-11,48.245,1.871
1989-07-21,49.3735,1.08585
1989-08-01,37.8585,1.1805
1989-08-11,40.597,1.1343
1989-08-21,34.659,1.1401
1989-09-01,25.6635,1.0935
1989-09-11,21.8085,0.6575
1989-09-21,17.967,1.0893
1989-10-01,11.6275,0.6905
1989-10-11,10.4595,0.4464
1989-10-21,11.3955,1.11505
1989-11-01,3.836,0.303
1989-11-11,1.1305,0.24645
1989-11-21,1.1285,0.41235
1989-12-01,0.025,0.029
1989-12-11,7.8745,1.08595
1989-12-21,1.469,0.3469
1990-01-01,0.0495,0.02475
1990-01-11,0.4335,0.11415
1990-01-21,5.796,0.6892
1990-02-01,7.234,0.6978
1990-02-11,5.3185,0.3748
1990-02-21,9.12,0.516
1990-03-01,12.8845,0.4136
1990-03-11,17.2825,0.70175
1990-03-21,21.197,0.83
1990-04-01,21.094,0.9396
1990-04-11,19.2025,0.67975
1990-04-21,28.833,0.9817
1990-05-01,43.629,1.1722
1990-05-11,37.4375,1.209
1990-05-21,49.135,1.844
1990-06-01,30.56,1.121
1990-06-11,36.774,0.6182
1990-06-21,43.6795,0.9016
1990-07-01,33.521,0.8128
1990-07-11,56.7625,1.56925
1990-07-21,59.0575,1.866
1990-08-01,53.99,2.119
1990-08-11,42.6955,0.7924
1990-08-21,35.568,0.7096
1990-09-01,26.861,0.911
1990-09-11,24.073,0.822
1990-09-21,16.6625,0.452
1990-10-01,13.245,0.545
1990-10-11,11.094,0.5018
1990-10-21,8.735,0.466
1990-11-01,2.9255,0.2455
1990-11-11,1.8775,0.2775
1990-11-21,0.9745,0.28395
1990-12-01,1.0395,0.2684
1990-12-11,0.2555,0.1606
1990-12-21,1.63,0.278
1991-01-01,4.9875,0.60825
1991-01-11,0.95,0.247
1991-01-21,0.8675,0.22125
1991-02-01,3.6695,0.2575
1991-02-11,4.3405,0.1814
1991-02-21,6.779,0.4358
1991-03-01,10.1545,0.5933
1991-03-11,13.67,0.33
1991-03-21,18.6695,0.91055
1991-04-01,23.598,0.8282
1991-04-11,30.2695,1.1285
1991-04-21,25.8395,0.77155
1991-05-01,26.743,1.4384
1991-05-11,28.6505,1.7506
1991-05-21,55.991,1.9429
1991-06-01,37.4,1.214
1991-06-11,36.9165,0.98085
1991-06-21,42.9015,0.88735
1991-07-01,53.663,1.3237
1991-07-11,45.709,1.5512
1991-07-21,47.8065,1.5082
1991-08-01,44.016,0.9554
1991-08-11,45.9645,1.0996
1991-08-21,48.568,2.0612
1991-09-01,35.652,1.1208
1991-09-11,22.552,0.6318
