Date,BY11
1989-01-01,0.0,
1989-01-11,0.25,
1989-01-21,1.53,
1989-02-01,3.02,
1989-02-11,4.42,
1989-02-21,3.9,
1989-03-01,9.48,
1989-03-11,10.45,
1989-03-21,19.38,
1989-04-01,12.8,
1989-04-11,13.04,
1989-04-21,16.25,
1989-05-01,31.58,
1989-05-11,26.29,
1989-05-21,33.21,
1989-06-01,23.46,
1989-06-11,39.08,
1989-06-21,31.07,
1989-07-01,27.05,
1989-07-11,33.8,
1989-07-21,35.67,
1989-08-01,26.02,
1989-08-11,27.94,
1989-08-21,26.14,
1989-09-01,17.06,
1989-09-11,15.75,
1989-09-21,12.23,
1989-10-01,8.84,
1989-10-11,8.03,
1989-10-21,7.83,
1989-11-01,2.36,
