Date,LY11
1961-01-01,6.906671143,
1962-01-01,6.107995605,
1963-01-01,6.733605957,
1964-01-01,6.659173584,
1965-01-01,6.820245361,
1966-01-01,6.937249756,
1967-01-01,6.652368164,
1968-01-01,6.339105225,
1969-01-01,6.398339844,
1970-01-01,6.423394775,
1971-01-01,5.918511963,
1972-01-01,6.285424805,
1973-01-01,7.306207275,
1974-01-01,6.445855713,
1975-01-01,6.182519531,
1976-01-01,6.789147949,
1977-01-01,5.699761963,
1978-01-01,6.698907471,
1979-01-01,6.365472412,
1980-01-01,6.529443359,
1981-01-01,6.475183105,
1982-01-01,6.475671387,
1983-01-01,6.760430908,
1984-01-01,6.552545166,
1985-01-01,6.665734863,
1986-01-01,6.551141357,
1987-01-01,6.835748291,
1988-01-01,6.35012207,
1989-01-01,6.585443115,
1990-01-01,7.203790283,
1991-01-01,6.978540039,
1992-01-01,7.420922852,
1993-01-01,7.680657959,
1994-01-01,7.229455566,
1995-01-01,6.928216553,
1996-01-01,6.983178711,
1997-01-01,7.177056885,
1998-01-01,7.274377441,
1999-01-01,6.830224609,
2000-01-01,7.030389404,
2001-01-01,7.000360107,
2002-01-01,7.06081543,
2003-01-01,7.450280762,
2004-01-01,7.33248291,
2005-01-01,6.912683105,
2006-01-01,7.077722168,
2007-01-01,7.031030273,
2008-01-01,7.042108154,
2009-01-01,7.283380127,
2010-01-01,7.244958496,
2011-01-01,7.365289307,
2012-01-01,7.218041992,
2013-01-01,7.564080811,
2014-01-01,7.125482178,
2015-01-01,6.951867676,
2016-01-01,7.556726074,
2017-01-01,7.917993164,
2018-01-01,7.690118408,
2019-01-01,7.698571777,
2020-01-01,6.819329834,
2021-01-01,6.870263672,
2022-01-01,7.463372803,
2023-01-01,7.78145752,
2024-01-01,8.166223145,
2025-01-01,7.676934814,
2026-01-01,7.184197998,
2027-01-01,7.529412842,
2028-01-01,7.934381104,
2029-01-01,7.763970947,
2030-01-01,7.689691162,
2031-01-01,7.938684082,
2032-01-01,8.492181396,
2033-01-01,8.045159912,
2034-01-01,8.044152832,
2035-01-01,8.291955566,
2036-01-01,7.485864258,
2037-01-01,8.130517578,
2038-01-01,8.378869629,
2039-01-01,7.960321045,
2040-01-01,8.21618042,
2041-01-01,8.36651001,
2042-01-01,7.970117188,
2043-01-01,8.488549805,
2044-01-01,8.247613525,
2045-01-01,8.304864502,
2046-01-01,8.281182861,
2047-01-01,8.014215088,
2048-01-01,8.864099121,
2049-01-01,8.670983887,
2050-01-01,7.915765381,
2051-01-01,8.253411865,
2052-01-01,9.008477783,
2053-01-01,8.980279541,
2054-01-01,8.910821533,
2055-01-01,8.636376953,
2056-01-01,8.845941162,
2057-01-01,9.115533447,
2058-01-01,9.050042725,
2059-01-01,8.553155518,
2060-01-01,8.518151855,
2061-01-01,8.901269531,
2062-01-01,8.640802002,
2063-01-01,9.594445801,
2064-01-01,9.122827148,
2065-01-01,9.467095947,
2066-01-01,9.38729248,
2067-01-01,9.060968018,
2068-01-01,8.988916016,
2069-01-01,9.268914795,
2070-01-01,9.229364014,
2071-01-01,9.65581665,
2072-01-01,9.502923584,
2073-01-01,9.094384766,
2074-01-01,8.690332031,
2075-01-01,9.376306152,
2076-01-01,8.99654541,
2077-01-01,9.326318359,
2078-01-01,9.453240967,
2079-01-01,9.736779785,
2080-01-01,10.07644043,
2081-01-01,9.833734131,
2082-01-01,10.174523926,
2083-01-01,9.499810791,
2084-01-01,9.285241699,
2085-01-01,9.362908936,
2086-01-01,9.655328369,
2087-01-01,9.936791992,
2088-01-01,9.864312744,
2089-01-01,10.202508545,
2090-01-01,10.235162354,
2091-01-01,10.258599854,
2092-01-01,10.043084717,
2093-01-01,9.83324585,
2094-01-01,9.753167725,
2095-01-01,9.721398926,
2096-01-01,9.936761475,
2097-01-01,9.809564209,
2098-01-01,9.67824707,
