Date,BY11
1961-01-01,675.9870832,
1962-01-01,661.001176,
1963-01-01,725.0444848,
1964-01-01,691.4081872,
1965-01-01,667.4124448,
1966-01-01,694.0445968,
1967-01-01,668.396368,
1968-01-01,588.689128,
1969-01-01,611.0513056,
1970-01-01,681.247288,
1971-01-01,703.9437472,
1972-01-01,614.2049056,
1973-01-01,643.6784512,
1974-01-01,592.3977616,
1975-01-01,664.943176,
1976-01-01,709.6864528,
1977-01-01,738.8099488,
1978-01-01,705.0916576,
1979-01-01,609.4839664,
1980-01-01,587.1943216,
1981-01-01,619.783624,
1982-01-01,577.2636352,
1983-01-01,679.8344752,
1984-01-01,724.1930128,
1985-01-01,631.3068784,
1986-01-01,681.7140208,
1987-01-01,612.4641184,
1988-01-01,614.9712304,
1989-01-01,625.8164608,
1990-01-01,589.5374464,
1991-01-01,647.8128208,
1992-01-01,697.204504,
1993-01-01,699.821992,
